WKT,EH,TT,ÜT,Touristen,Gesamt
"MULTIPOLYGON (((8.7126654205742 50.6197084381737,8.71367533549698 50.6199320518479,8.71442503369689 50.6195283319916,8.71416481011159 50.6189010015091,8.71315490590192 50.6186773913461,8.71240521456457 50.6190811081544,8.7126654205742 50.6197084381737)))","2953","853","553","1406","4359"
"MULTIPOLYGON (((8.68758010126859 50.5879367731665,8.6885893416555 50.5881606017787,8.68933874370821 50.5877568284905,8.68907889850125 50.587129229633,8.68806966880477 50.5869054045366,8.68732027362493 50.5873091747819,8.68758010126859 50.5879367731665)))","191875","20475","18075","38550","230425"
"MULTIPOLYGON (((8.65278104973828 50.5414392739786,8.65378932024011 50.5416634011349,8.65453828574831 50.5412595356849,8.65427897386813 50.5406315461142,8.65327071402453 50.5404074224803,8.65252175540304 50.5408112848948,8.65278104973828 50.5414392739786)))","642904","285404","152804","438208","1081112"
"MULTIPOLYGON (((8.6666384673841 50.5439483523048,8.66764689318753 50.5441723671002,8.66839586108061 50.5437684168303,8.66813639629231 50.5431404548027,8.66712798115508 50.542916443528,8.66637902014007 50.5433203907604,8.6666384673841 50.5439483523048)))","955","155","0","155","1110"
"MULTIPOLYGON (((8.71707031408997 50.6104283149397,8.71808013259689 50.6106518970126,8.71882972328602 50.6102480736349,8.71856948861052 50.6096206712324,8.71755968081615 50.6093970926708,8.71681009698485 50.6098009130005,8.71707031408997 50.6104283149397)))","471856","154256","137756","292012","763868"
"MULTIPOLYGON (((8.64739387396339 50.5527883550477,8.64840226171012 50.5530125209493,8.64915135823301 50.5526087819928,8.64889206011684 50.5519808801705,8.64788368302906 50.5517567177913,8.64713459339864 50.5521604537121,8.64739387396339 50.5527883550477)))","4350","550","0","550","4900"
"MULTIPOLYGON (((8.72264008790951 50.612800907905,8.723649988488 50.6130244441606,8.72439959465526 50.6126205970874,8.72413929338954 50.6119932168074,8.72312940352725 50.6117696840623,8.72237980421461 50.6121735280867,8.72264008790951 50.612800907905)))","9692","1392","1392","2784","12476"
"MULTIPOLYGON (((8.69185895225608 50.607122097162,8.6928685065883 50.6073458834761,8.6936181068451 50.6069422238655,8.69335814589595 50.6063147809853,8.69234860226224 50.6060909981854,8.69159900887927 50.6064946547514,8.69185895225608 50.607122097162)))","5269","369","169","538","5807"
"MULTIPOLYGON (((8.61359577885806 50.5640870770295,8.61460403844595 50.5643115099099,8.61535331535998 50.5639081100924,8.61509432576925 50.5632802804266,8.61408607682628 50.5630558510715,8.61333680682924 50.563459247857,8.61359577885806 50.5640870770295)))","46925","6825","6225","13050","59975"
"MULTIPOLYGON (((8.64229296485337 50.5670498685005,8.64330151437535 50.5672740696609,8.64405077267305 50.5668704771878,8.64379147455025 50.5662426865902,8.64278293568891 50.5660184889519,8.64203368428985 50.5664220783891,8.64229296485337 50.5670498685005)))","264031","130731","74731","205462","469493"
"MULTIPOLYGON (((8.69340104260954 50.6285439409666,8.69441091996983 50.6287677060053,8.69516074748937 50.6283641976457,8.69490069077165 50.6277369272937,8.69389082411721 50.6275131657678,8.69314100347473 50.6279166710812,8.69340104260954 50.6285439409666)))","33420","2420","1520","3940","37360"
"MULTIPOLYGON (((8.67687184237977 50.557626258251,8.67788055332674 50.5578501852872,8.67862964955528 50.557446262121,8.67837002796298 50.5568184149582,8.67736132769164 50.5565944914407,8.67661223833711 50.5569984115674,8.67687184237977 50.557626258251)))","31121","9921","9421","19342","50463"
"MULTIPOLYGON (((8.68566095280857 50.5567259916223,8.68666972625969 50.5569498483581,8.68741879724341 50.5565458525006,8.68715908790808 50.555918002948,8.68615032513685 50.55569414973,8.68540126102117 50.5560981425469,8.68566095280857 50.5567259916223)))","1278","378","0","378","1656"
"MULTIPOLYGON (((8.63886280020133 50.5742689797873,8.63987142434952 50.5744932056014,8.64062076606397 50.5740896936506,8.64036147672802 50.5734619589216,8.63935286324088 50.5732377366295,8.63860352842878 50.5736412455445,8.63886280020133 50.5742689797873)))","1138","238","238","476","1614"
"MULTIPOLYGON (((8.70141927537589 50.6257631058144,8.70242918136071 50.6259868074838,8.70317896469612 50.6255832179055,8.70291883517558 50.6249559297046,8.70190893989993 50.6247322315473,8.70115916343575 50.6251358180787,8.70141927537589 50.6257631058144)))","119177","186277","101277","287554","406731"
"MULTIPOLYGON (((8.63578408689908 50.5490661303511,8.63679232106647 50.549290391015,8.63754139815494 50.5488867108391,8.63728223417678 50.5482587730333,8.63627401066117 50.5480345158932,8.6355249404721 50.5484381930352,8.63578408689908 50.5490661303511)))","2165","165","0","165","2330"
"MULTIPOLYGON (((8.64356081124349 50.5679018522777,8.64456938396902 50.5681260429074,8.64531864916471 50.5677224473983,8.64505933473703 50.5670946642956,8.64405077267305 50.5668704771878,8.64330151437535 50.5672740696609,8.64356081124349 50.5679018522777)))","659971","285471","200471","485942","1145913"
"MULTIPOLYGON (((8.62111617805194 50.5623397517213,8.62212447725768 50.5625641248999,8.62287372227864 50.5621606554312,8.62261466118227 50.5615328158168,8.62160637262476 50.5613084461627,8.6208571345155 50.5617119125986,8.62111617805194 50.5623397517213)))","9934","334","134","468","10402"
